Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
M21.Col.P1135P1129P8E.yng.M2_41a2,M21,Col,E,yng,M2_41a2
M21.Col.P1131P1130P4E.yng.M2_41a2,M21,Col,E,yng,M2_41a2
M21.Col.P1134P1132P7E.yng.M2_41a2,M21,Col,E,yng,M2_41a2
M21.Ct.P1144P1139P8E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Ct.P1145P1138P9E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Ct.P1148P1140P12E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Cvi.P1157P1154P9E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.P1161P1151PxE.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.P1155P1149P7E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Ler.P1174P1166P8E.yng.M2_41b,M21,Ler,E,yng,M2_41b
M21.Mt.P1183P1168P9E.yng.M2_41b,M21,Mt,E,yng,M2_41b
M21.Tsu.P1204P1172P8E.yng.M2_41b,M21,Tsu,E,yng,M2_41b
M21.Oy.P1186P1185P3E.yng.M2_41b,M21,Oy,E,yng,M2_41b
M21.Oy.P1190P1187P9E.yng.M2_41b,M21,Oy,E,yng,M2_41b
M21.Sha.P1198P1196P8E.yng.M2_41b,M21,Sha,E,yng,M2_41b
M21.Sha.P1200P1195P10E.yng.M2_41b,M21,Sha,E,yng,M2_41b
M21.Sha.P1199P1194P9E.yng.M2_41b,M21,Sha,E,yng,M2_41b
M21.Ler.P2125P1240P7E.old.M2_52a,M21,Ler,E,old,M2_52a
M21.Ler.P2126P1241P8E.old.M2_52a,M21,Ler,E,old,M2_52a
M21.Oy.P2119P1259P4E.old.M2_52a,M21,Oy,E,old,M2_52a
C21.Col.P1294P1289P8E.old.C2_43a,C21,Col,E,old,C2_43a
C21.Col.P1291P1288P5E.old.C2_43a,C21,Col,E,old,C2_43a
C21.Col.P1295P1292P9E.old.C2_43a,C21,Col,E,old,C2_43a
C21.Col.P1293P1287P7E.old.C2_43a,C21,Col,E,old,C2_43a
C21.Ct.P1302P1296P8E.old.C2_43a,C21,Ct,E,old,C2_43a
C21.Ct.P1299P1297P5E.old.C2_43a,C21,Ct,E,old,C2_43a
C21.Mt.P1328P1325P8E.old.C2_43b,C21,Mt,E,old,C2_43b
C21.Mt.P1330P1322P10E.old.C2_43b,C21,Mt,E,old,C2_43b
C21.Oy.P1333P1331P4_2E.old.C2_43b,C21,Oy,E,old,C2_43b
C21.Sha.P1349P1341P8E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.P1352P1346P10_2E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Tsu.P1360P1355P7E.old.C2_43b,C21,Tsu,E,old,C2_43b
M21.Col.P149P147P139P12E.yng.M1_28b,M21,Col,E,yng,M1_28b
M21.Col.P148P146P145P11E.yng.M1_28b,M21,Col,E,yng,M1_28b
M21.Ct.P157P154P12E.yng.M1_28b,M21,Ct,E,yng,M1_28b
M21.Ct.P156P151P11E.yng.M1_28b,M21,Ct,E,yng,M1_28b
M21.Ct.P155P152P150P10E.yng.M1_28b,M21,Ct,E,yng,M1_28b
M21.Cvi.P182P177P175P11E.yng.M1_29a,M21,Cvi,E,yng,M1_29a
M21.Ler.P214P163P1E.yng.M1_29a,M21,Ler,E,yng,M1_29a
M21.Mt.P172P169P7E.yng.M1_28b,M21,Mt,E,yng,M1_28b
M21.Soil.P1710P1705P12S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Col.P1777P1770P5E.yng.Me2_48b,M21,Col,E,yng,Me2_48b
M21.Col.P1780P1771P8E.yng.Me2_48b,M21,Col,E,yng,Me2_48b
M21.Col.P1776P1773P4E.yng.Me2_48b,M21,Col,E,yng,Me2_48b
M21.Col.P1779P1772P7E.yng.Me2_48b,M21,Col,E,yng,Me2_48b
M21.Sha.P200P198P8E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Sha.P202P201P10E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Sha.P199P193P7E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Tsu.P209P204P6E.yng.M1_29a,M21,Tsu,E,yng,M1_29a
M21.Tsu.P211P205P8E.yng.M1_29a,M21,Tsu,E,yng,M1_29a
M21.Tsu.P208P206P4_2E.yng.M1_29a,M21,Tsu,E,yng,M1_29a
C21.Ct.P791P10P5E.old.C1_37a,C21,Ct,E,old,C1_37a
C21.Ct.P2085P790P7E.old.C1_52a,C21,Ct,E,old,C1_52a
C21.Cvi.P2095P805P11E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Cvi.P2094P2092P10E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Col.P2097P876P7E.yng.C2_52a,C21,Col,E,yng,C2_52a
C21.Col.P2096P880P5_2E.yng.C2_52a,C21,Col,E,yng,C2_52a
M21.Cvi.P2103P635P9E.old.M1_52a,M21,Cvi,E,old,M1_52a
M21.Cvi.P2106P631P12E.old.M1_52a,M21,Cvi,E,old,M1_52a
M21.Cvi.P2102P2101P7E.old.M1_52a,M21,Cvi,E,old,M1_52a
C21.Col.P438P52P8P3R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Ct.P450P45P1P5R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ler.P54P9P1R.old.C1_27a,C21,Ler,R,old,C1_27a
C21.Soil.P472P51P7P3S.old.C1_32a,C21,Soil,S,old,C1_32a
M21.Col.P614P612P4E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Ct.P624P623P6E.old.M1_35a,M21,Ct,E,old,M1_35a
C21.Mt.P743P739P7E.yng.C1_36b,C21,Mt,E,yng,C1_36b
C21.Mt.P746P745PxE.yng.C1_36b,C21,Mt,E,yng,C1_36b
C21.Mt.P742P740P6E.yng.C1_36b,C21,Mt,E,yng,C1_36b
C21.Oy.P755P749P9E.yng.C1_36b,C21,Oy,E,yng,C1_36b
C21.Oy.P753P750P7E.yng.C1_36b,C21,Oy,E,yng,C1_36b
C21.Sha.P766P760P10E.yng.C1_36b,C21,Sha,E,yng,C1_36b
C21.Sha.P767P765P758P11E.yng.C1_36b,C21,Sha,E,yng,C1_36b
C21.Tsu.P920P773P6E.yng.C1_38b,C21,Tsu,E,yng,C1_38b
C21.Tsu.P921P774P7E.yng.C1_38b,C21,Tsu,E,yng,C1_38b
C21.Tsu.P922P775P9E.yng.C1_38b,C21,Tsu,E,yng,C1_38b
C21.Tsu.P924P776P10E.yng.C1_38b,C21,Tsu,E,yng,C1_38b
C21.Tsu.P919P918P772P5E.yng.C1_38b,C21,Tsu,E,yng,C1_38b
C21.Ler.P806P56P11P1E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Oy.P832P831P8E.old.C1_37b,C21,Oy,E,old,C1_37b
C21.Sha.P840P835P8E.old.C1_37b,C21,Sha,E,old,C1_37b
C21.Tsu.P852P849P10E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Ct.P890P885P11E.yng.C2_38a,C21,Ct,E,yng,C2_38a
C21.Ct.P888P887P9E.yng.C2_38a,C21,Ct,E,yng,C2_38a
C21.Ler.P909P906P8E.yng.C2_38a,C21,Ler,E,yng,C2_38a
C21.Mt.P926P915P9E.yng.C2_38b,C21,Mt,E,yng,C2_38b
C21.Oy.P935P934P929P8E.yng.C2_38b,C21,Oy,E,yng,C2_38b
C21.Oy.P936P931P10E.yng.C2_38b,C21,Oy,E,yng,C2_38b
C21.Sha.P942P940P6E.yng.C2_38b,C21,Sha,E,yng,C2_38b
C21.Sha.P946P943P941P10E.yng.C2_38b,C21,Sha,E,yng,C2_38b
M21.Ler.P63P18P1R.old.926FC1_27a,M21,Ler,R,old,926FC1_27a
C21.Soil.P46P2P3S.old.926FC1_27a,C21,Soil,S,old,926FC1_27a
M21.Soil.P66P21P2S.yng.804FSH1_27a,M21,Soil,S,yng,804FSH1_27a
M21.Bd21l3.P68P23P6R.yng.804FSH1_27a,M21,Bd21l3,R,yng,804FSH1_27a
M21.Bd21l3.P70P25P6E.yng.804FSH1_27a,M21,Bd21l3,E,yng,804FSH1_27a
